Commodity,Cluster
"Crude oil, average",3
"Crude oil, Brent",3
"Crude oil, Dubai",3
"Crude oil, WTI",3
"Coal, Australian",4
"Coal, South African **",4
"Natural gas, US",4
"Natural gas, Europe",4
"Liquefied natural gas, Japan",4
Natural gas index,4
Cocoa,4
"Coffee, Arabica",4
"Coffee, Robusta",4
"Tea, avg 3 auctions",4
"Tea, Colombo",4
"Tea, Kolkata",4
"Tea, Mombasa",2
Coconut oil,3
Groundnuts,2
Fish meal,1
Groundnut oil **,2
Palm oil,3
Palm kernel oil,3
Soybeans,3
Soybean oil,3
Soybean meal,3
Rapeseed oil,3
Sunflower oil,3
Barley,2
Maize,3
Sorghum,2
"Rice, Thai 5% ",2
"Rice, Thai 25% ",2
"Rice, Thai A.1",2
"Rice, Viet Namese 5%",2
"Wheat, US SRW",3
"Wheat, US HRW",3
"Banana, Europe",3
"Banana, US",1
Orange,1
Beef **,4
Chicken **,1
Lamb **,4
"Shrimps, Mexican",1
"Sugar, EU",3
"Sugar, US",1
"Sugar, world",1
"Tobacco, US import u.v.",1
"Logs, Cameroon",3
"Logs, Malaysian",1
"Sawnwood, Cameroon",3
"Sawnwood, Malaysian",3
Plywood,1
"Cotton, A Index",3
"Rubber, TSR20 **",3
"Rubber, RSS3",3
Phosphate rock,1
DAP,2
TSP,2
Urea ,2
Potassium chloride **,4
Aluminum,3
"Iron ore, cfr spot",3
Copper,3
Lead,3
Tin,3
Nickel,3
Zinc,3
Gold,3
Platinum,3
Silver,3
